id,first_name,received,administrator,guide_code,Country of Origin,Initial_guide_code,custom trip,trip_code,status,departure_date,duration,guide_confirmed_date,guide_availability confirmed,availability,guide_recommendation,main_activity,skill_level,destination_country,people_count,cancellation_reason,source,base_price_local_currency,price_currency,exchange_rate,payment_method
21402,Peter,24/12/2018,,97,Australia,360,,127,1_cancelled,,4,24/12/2018,Affirmative,From 15-Jul-2019 to 20-Jul-2019," 
",Mountaineering,intermediate,81,1,Changed plans,Organic,1950,EUR,1,
21357,Lynne,22/12/2018,,115,United Kingdom,115,,558,1_cancelled,,3,23/12/2018,Affirmative,From 30-Dec-2018 to 04-Jan-2019," 
",Heliskiing,advanced,74,1,Changed plans,Organic,1140,EUR,1,
21344,chris,22/12/2018,,212,United States,24,Yes,#N/A,1_cancelled,,6,27/12/2018,Affirmative,From 01-Jan-2019 to 28-Feb-2019," 
",Hiking,intermediate,10,2,Changed plans / Out of season,Organic,2300,USD,0.879,
21209,Yubo,18/12/2018,,1,Mexico,1,,56,1_cancelled,,2,18/12/2018,Affirmative,From 22-Dec-2018 to 23-Dec-2018," 
",Mountaineering,intermediate,142,1,Changed plans,Referral,400,USD,0.879,
21207,Jaime,18/12/2018,,165,Spain,165,,45,1_cancelled,,12,20/12/2018,Affirmative,From 30-Jan-2019 to 12-Feb-2019," 
",Heliskiing,advanced,58,2,Changed plans,Paid,4380,EUR,1,
21144,Sussie,17/12/2018,,176,Singapore,176,,2,1_cancelled,,1,17/12/2018,Affirmative,"From 10-Jun-2019 to 10-Jun-2019
From 09-Jun-2019 to 09-Jun-2019"," 
",Hiking,beginner,110,4,Changed plans,Organic,68000,JPY,0.0077,
21065,Michael,14/12/2018,,240,,240,,490,1_cancelled,,1,14/12/2018,Affirmative,From 21-Dec-2018 to 22-Dec-2018," 
",Rock Climbing,beginner,10,2,Too last minute request / Out of season,Unknown,320,USD,0.879,
21054,Becky,13/12/2018,,16,United Kingdom,16,,612,1_cancelled,,1,14/12/2018,Affirmative,From 22-Dec-2018 to 29-Dec-2018," 
",Heliskiing,advanced,14,2,Changed plans,Organic,435,EUR,1,
21046,Alexander,13/12/2018,,357,Netherlands,357,,504,1_cancelled,,1,14/12/2018,Affirmative,From 07-Jan-2019 to 11-Jan-2019," 
",Heliskiing,intermediate,74,4,Changed plans,Referral,330,EUR,1,
20974,Jan,12/12/2018,,19,Germany,19,,593,1_cancelled,,16,13/12/2018,Affirmative,From 06-Jul-2019 to 21-Jul-2019," 
",,beginner,119,4,Changed plans,web,3000,USD,0.879,
20972,Eugene,12/12/2018,,124,Germany,124,Yes,710,1_cancelled,,1,12/12/2018,Affirmative,From 29-Dec-2018 to 29-Dec-2018," 
",Heliskiing,beginner,177,4,Changed plans,Unknown,100,EUR,1,
20909,Pauline,10/12/2018,,306,United Kingdom,306,Yes,#N/A,1_cancelled,,3,13/12/2018,Affirmative,From 03-Mar-2019 to 09-Mar-2019," 
",Heliskiing,intermediate,74,4,Changed plans,Unknown,1080,EUR,1,
20868,Dmitry,9/12/2018,,205,Russia,205,,23,1_cancelled,,1,10/12/2018,Affirmative,From 27-Dec-2018 to 28-Dec-2018," 
",Via Ferrata,beginner,108,2,Changed plans,Organic,320,EUR,1,
