Périmètre,Nature,Date,Heures,Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogén.,Fioul - Autres,Gaz - TAC,Gaz - Cogén.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + éclusée,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioénergies - Déchets,Bioénergies - Biomasse,Bioénergies - Biogaz
France,Données temps réel,2020-03-01,00:00,60835,59600,60800,237,12,2780,43917,11220,0,7915,-752,764,-5384,26,-1506,-1482,-3236,-2905,2934,1,21,215,-1,2568,213,0,5488,2117,310,196,305,263
France,Données temps réel,2020-03-01,00:15,60297,58850,59900,203,14,2773,44211,11164,0,7798,-788,742,-5954,26,,,,,,2,21,180,-1,2562,212,0,5483,2246,69,206,288,248
France,Données temps réel,2020-03-01,00:30,58978,58100,59000,201,12,2775,43136,11219,0,7661,-792,742,-6104,26,-1506,-1482,-3236,-2905,2934,0,21,180,-1,2565,211,0,5468,2125,68,206,288,248
France,Données temps réel,2020-03-01,00:45,57135,57100,57950,169,12,2764,43050,10946,0,7535,-2207,742,-6009,26,,,,,,2,21,146,-2,2555,211,0,5454,2011,70,206,288,248
France,Données temps réel,2020-03-01,01:00,56870,56100,56900,168,12,2766,42651,10945,0,7534,-2169,740,-5909,27,-1506,-1874,-3236,-2629,4560,1,21,146,-1,2553,214,0,5467,1998,69,204,288,248
France,Données temps réel,2020-03-01,01:15,56912,56150,57000,169,12,2766,41663,10925,0,7357,-2168,741,-4684,27,,,,,,2,21,146,-1,2555,212,0,5410,1878,69,205,288,248
France,Données temps réel,2020-03-01,01:30,56132,56200,57100,168,11,2764,41072,10845,0,7359,-2168,743,-4792,27,-1506,-1874,-3236,-2629,4560,1,21,146,-1,2554,211,0,5379,1910,70,207,288,248
France,Données temps réel,2020-03-01,01:45,56210,55950,56850,169,11,2762,40732,10753,0,7326,-1623,741,-4790,27,,,,,,2,21,146,-1,2553,210,0,5370,1954,2,205,288,248
France,Données temps réel,2020-03-01,02:00,55837,55700,56600,168,12,2765,39848,10725,0,7259,-1779,740,-4035,28,-1456,-1090,-3236,-2604,4243,1,21,146,-2,2555,212,0,5355,1904,0,204,288,248
France,Données temps réel,2020-03-01,02:15,55730,54800,55650,168,13,2572,39588,10631,0,7240,-1826,741,-3526,27,,,,,,1,21,146,0,2385,187,0,5317,1923,0,205,288,248
France,Données temps réel,2020-03-01,02:30,54684,53900,54700,169,13,2589,38845,10662,0,7225,-1967,743,-3725,27,-1456,-1090,-3236,-2604,4243,2,21,146,0,2386,203,0,5352,1873,0,207,288,248
France,Données temps réel,2020-03-01,02:45,53674,53100,53850,168,13,2592,38497,10601,0,7107,-1983,743,-4187,28,,,,,,1,21,146,0,2383,209,0,5370,1737,0,207,288,248
France,Données temps réel,2020-03-01,03:00,53049,52300,53000,168,12,2593,37843,10604,0,7038,-2460,743,-3621,28,-1456,-1080,-2946,-2567,5540,1,21,146,-1,2385,209,0,5367,1671,0,208,287,248
France,Données temps réel,2020-03-01,03:15,52345,51600,52400,167,12,2596,37454,10579,0,6794,-3505,742,-2628,29,,,,,,0,21,146,-1,2386,211,0,5277,1517,0,206,288,248
France,Données temps réel,2020-03-01,03:30,51797,50900,51800,168,13,2574,37124,10582,0,6841,-3504,743,-2876,29,-1456,-1080,-2946,-2567,5540,1,21,146,0,2384,190,0,5307,1534,0,207,288,248
France,Données temps réel,2020-03-01,03:45,51084,50600,51300,167,13,2590,36428,10573,0,6766,-3520,745,-2805,30,,,,,,0,21,146,-1,2386,205,0,5267,1499,0,209,288,248
France,Données temps réel,2020-03-01,04:00,50759,50300,50800,167,12,2590,35843,10497,0,6761,-3515,743,-2471,30,-856,-841,-2946,-2329,4769,0,21,146,0,2384,206,0,5281,1480,0,207,288,248
France,Données temps réel,2020-03-01,04:15,50209,50000,50500,169,12,2595,35737,10411,0,6770,-3507,741,-2848,30,,,,,,2,21,146,-1,2388,208,0,5310,1460,0,205,288,248
France,Données temps réel,2020-03-01,04:30,50198,49700,50200,169,12,2595,35439,10315,0,6786,-3578,742,-2408,30,-856,-841,-2946,-2329,4769,2,21,146,-1,2388,208,0,5282,1504,0,206,288,248
France,Données temps réel,2020-03-01,04:45,49781,49700,49900,169,11,2593,35269,10119,0,6719,-3419,744,-2558,31,,,,,,2,21,146,-1,2387,207,0,5266,1453,0,207,289,248
France,Données temps réel,2020-03-01,05:00,49886,49700,49600,168,12,2598,35056,9952,0,6726,-3413,742,-2083,31,46,-514,-2986,-2408,5010,1,21,146,-2,2389,211,0,5280,1446,0,205,289,248
France,Données temps réel,2020-03-01,05:15,50548,50100,50050,168,12,2601,34988,9809,0,6726,-3413,744,-1213,31,,,,,,1,21,146,-1,2390,212,0,5298,1428,0,207,289,248
France,Données temps réel,2020-03-01,05:30,50477,50500,50500,167,12,2601,34845,9607,0,6692,-3415,742,-904,31,46,-514,-2986,-2408,5010,0,21,146,-2,2391,212,0,5291,1401,0,206,288,248
France,Données temps réel,2020-03-01,05:45,50291,51050,50600,168,13,2600,35068,9430,0,6727,-3332,742,-1251,31,,,,,,1,21,146,-1,2391,210,0,5307,1420,0,206,288,248
France,Données temps réel,2020-03-01,06:00,50736,51600,50700,168,13,2598,35263,9279,0,6772,-3318,742,-907,31,166,-839,-2986,-2590,4802,1,21,146,-1,2388,211,0,5324,1448,0,205,289,248
France,Données temps réel,2020-03-01,06:15,51244,51800,51000,165,12,2594,35762,9159,0,6973,-2801,743,-1488,30,,,,,,-2,21,146,-2,2389,207,0,5456,1517,0,206,289,248
France,Données temps réel,2020-03-01,06:30,51321,52000,51300,165,13,2591,35615,9169,0,6930,-2646,743,-1387,30,166,-839,-2986,-2590,4802,-2,21,146,-2,2388,205,0,5448,1482,0,206,289,248
France,Données temps réel,2020-03-01,06:45,51576,52100,51700,165,13,2598,35989,9197,0,6963,-2641,744,-1578,30,,,,,,-2,21,146,-1,2389,210,0,5437,1526,0,207,289,248
France,Données temps réel,2020-03-01,07:00,52017,52200,52100,165,13,2598,36334,9132,0,7000,-2484,743,-1612,30,-588,-557,-3216,-2864,4930,-2,21,146,-2,2389,211,0,5433,1567,0,206,289,248
France,Données temps réel,2020-03-01,07:15,52250,52350,52150,165,13,2650,36746,9223,0,7009,-2525,742,-1919,30,,,,,,-2,21,146,-1,2454,197,0,5469,1540,0,205,289,248
France,Données temps réel,2020-03-01,07:30,52171,52500,52200,165,13,2655,36599,9082,170,6970,-2525,741,-1699,30,-588,-557,-3216,-2864,4930,-2,21,146,-1,2452,204,0,5429,1541,0,205,288,248
France,Données temps réel,2020-03-01,07:45,51958,53050,52500,168,11,2659,37058,8905,206,7046,-2521,740,-2314,30,,,,,,1,21,146,-1,2453,207,0,5482,1564,0,204,288,248
France,Données temps réel,2020-03-01,08:00,52813,53600,52800,168,13,2662,37915,8736,239,7170,-2511,739,-2318,29,-1308,-276,-3216,-3051,5744,1,21,146,-1,2454,209,0,5505,1665,0,204,287,248
France,Données temps réel,2020-03-01,08:15,53160,54200,53400,168,12,2644,38255,8533,386,7111,-2004,744,-2689,29,,,,,,1,21,146,0,2451,193,0,5530,1581,0,208,288,248
France,Données temps réel,2020-03-01,08:30,53985,54800,54000,169,12,2655,39049,8378,661,7140,-2000,743,-2822,29,-1308,-276,-3216,-3051,5744,2,21,146,-1,2454,202,0,5523,1617,0,206,289,248
France,Données temps réel,2020-03-01,08:45,54607,55550,54550,168,12,2656,39624,8252,815,7130,-1947,742,-2845,28,,,,,,1,21,146,0,2449,207,0,5542,1588,0,206,288,248
France,Données temps réel,2020-03-01,09:00,55245,56300,55100,168,12,2655,39867,8164,1076,7138,-1959,741,-2617,28,-1307,-1327,-2822,-2877,5939,1,21,146,-1,2449,207,0,5494,1644,0,206,287,248
France,Données temps réel,2020-03-01,09:15,55817,57000,55850,169,12,2625,40047,8341,1241,7085,-1785,742,-2660,28,,,,,,2,21,146,-1,2440,186,0,5516,1569,0,206,288,248
France,Données temps réel,2020-03-01,09:30,56603,57700,56600,168,11,2645,40308,8404,1574,7103,-1797,743,-2556,27,-1307,-1327,-2822,-2877,5939,1,21,146,-2,2441,206,0,5523,1580,0,206,289,248
France,Données temps réel,2020-03-01,09:45,56976,58100,57000,169,13,2648,40610,8435,1809,7128,-1839,742,-2739,27,,,,,,2,21,146,-1,2441,208,0,5541,1587,0,206,288,248
France,Données temps réel,2020-03-01,10:00,57411,58500,57400,169,12,2648,40505,8578,1922,7163,-1680,742,-2648,27,-1505,-1145,-2759,-3051,5676,2,21,146,-1,2440,209,0,5535,1626,2,205,289,248
France,Données temps réel,2020-03-01,10:15,57890,58900,57750,167,12,2595,40403,8752,2186,7166,-1523,742,-2610,26,,,,,,0,21,146,-1,2431,165,0,5515,1649,2,205,289,248
France,Données temps réel,2020-03-01,10:30,58072,59300,58100,168,12,2606,40601,8863,2303,7168,-1520,742,-2871,26,-1505,-1145,-2759,-3051,5890,1,21,146,0,2431,175,0,5521,1645,2,205,289,248
France,Données temps réel,2020-03-01,10:45,58482,59550,58300,168,13,2627,40550,8835,2500,7107,-1547,743,-2514,26,,,,,,1,21,146,-1,2431,197,0,5521,1584,2,207,288,248
France,Données temps réel,2020-03-01,11:00,58521,59800,58500,169,13,2634,40848,8761,2437,7144,-1569,742,-2658,26,-1505,-444,-2759,-2832,5356,2,21,146,-2,2430,206,0,5544,1597,3,206,288,248
France,Données temps réel,2020-03-01,11:15,59281,60050,58700,169,13,2528,40697,8782,2671,7173,-1367,742,-2127,26,,,,,,2,21,146,-2,2416,114,0,5572,1599,2,206,288,248
France,Données temps réel,2020-03-01,11:30,58904,60300,58900,169,12,2596,40406,8839,2851,7163,-1365,737,-2504,26,-1505,-444,-2759,-2832,5356,2,21,146,0,2416,180,0,5561,1601,1,203,286,248
France,Données temps réel,2020-03-01,11:45,59776,61000,60000,169,12,2599,40575,8824,3143,7364,-1361,737,-2286,26,,,,,,2,21,146,0,2414,185,0,5582,1666,116,208,281,248
France,Données temps réel,2020-03-01,12:00,60315,61700,61100,169,12,2560,41054,8873,3224,7377,-1350,743,-2347,25,-1505,-96,-3227,-2250,4702,2,21,146,-1,2417,144,0,5595,1666,116,207,288,248
France,Données temps réel,2020-03-01,12:15,60854,61600,60850,169,12,2583,40590,8505,3241,7637,-103,745,-2525,25,,,,,,2,21,146,0,2409,174,0,5517,2004,116,208,289,248
