"selection1_Medecin,""selection1_url"",""selection1_Adresse"",""selection1_Rating"""
"Martine Hatchuel et Catherine Soulat,""https://www.yelp.fr/biz/martine-hatchuel-et-catherine-soulat-paris?osq=Gyn%C3%A9cologue"",""15 boulevard Richard Lenoir"",""3.5 star rating"""
"Centre Gynécologie-Obstétrique Paris 16,""https://www.yelp.fr/biz/centre-gyn%C3%A9cologie-obst%C3%A9trique-paris-16-paris?osq=Gyn%C3%A9cologue"",""60 avenue d'Iéna"",""5 star rating"""
"Sylvie Bailleul,""https://www.yelp.fr/biz/sylvie-bailleul-paris?osq=Gyn%C3%A9cologue"",""19 bd Magenta"",""4.5 star rating"""
"Anne Odier,""https://www.yelp.fr/biz/anne-odier-paris?osq=Gyn%C3%A9cologue"",""42 Rue Daguerre"",""5 star rating"""
"Monique Barbery,""https://www.yelp.fr/biz/monique-barbery-paris?osq=Gyn%C3%A9cologue"",""20 Plaine"",""5 star rating"""
"Sophie Noël-Wekstein,""https://www.yelp.fr/biz/sophie-no%C3%ABl-wekstein-paris-2?osq=Gyn%C3%A9cologue"",""19 rue d'Edimbourg"",""4 star rating"""
"Marie Coudreuse Medevielle,""https://www.yelp.fr/biz/marie-coudreuse-medevielle-paris?osq=Gyn%C3%A9cologue"",""16 rue des Saints Pères"",""4.5 star rating"""
"Gonzague Mellerio,""https://www.yelp.fr/biz/gonzague-mellerio-paris?osq=Gyn%C3%A9cologue"",""9 rue Gustave Doré"",""4.5 star rating"""
"Françoise Hainaut,""https://www.yelp.fr/biz/fran%C3%A7oise-hainaut-paris?osq=Gyn%C3%A9cologue"",""151 Fbg St Antoine"",""5 star rating"""
"Richet Anne-Isabelle,""https://www.yelp.fr/biz/richet-anne-isabelle-paris-2?osq=Gyn%C3%A9cologue"",""109 Rue Université"",""5 star rating"""
"Oppenheim Tatiane,""https://www.yelp.fr/biz/oppenheim-tatiane-paris?osq=Gyn%C3%A9cologue"",""17 Boulevard Temple"",""5 star rating"""
"Joëlle Brunerie,""https://www.yelp.fr/biz/jo%C3%ABlle-brunerie-paris?osq=Gyn%C3%A9cologue"",""2 Avenue René Coty"",""5 star rating"""
"Rondet Catherine,""https://www.yelp.fr/biz/rondet-catherine-paris-2?osq=Gyn%C3%A9cologue"",""2 Place Catalogne"",""5 star rating"""
"Danielle Hassoun,""https://www.yelp.fr/biz/danielle-hassoun-paris?osq=Gyn%C3%A9cologue"",""5 place leon blum"",""5 star rating"""
"Claudie Boutteville,""https://www.yelp.fr/biz/claudie-boutteville-st-ouen?osq=Gyn%C3%A9cologue"",""13 Rue Raspail"",""4 star rating"""
"Dr. Jonathan Ouahba,""https://www.yelp.fr/biz/dr-jonathan-ouahba-paris?osq=Gyn%C3%A9cologue"",""11 rue Ponscarme"",""4 star rating"""
"Vina-Blanche Saha,""https://www.yelp.fr/biz/vina-blanche-saha-paris?osq=Gyn%C3%A9cologue"",""85 Rue Taitbout"",""3.5 star rating"""
"Anne-Laurence Bigle,""https://www.yelp.fr/biz/anne-laurence-bigle-boulogne-billancourt?osq=Gyn%C3%A9cologue"",""77 allée du Forum"",""4 star rating"""
"Ruth Aboulkheir,""https://www.yelp.fr/biz/ruth-aboulkheir-paris?osq=Gyn%C3%A9cologue"",""14 rue de Vouillé"",""5 star rating"""
